dataset_name,dataset_size,true_acceptance_rate,predicted_acceptance_rate,accuracy,accept_recall,reject_recall,metrics_2020,metrics_2021,metrics_2022,metrics_2023,metrics_2024,metrics_2025
iclr_2020_2025_85_5_10_split6_original_clean_binary_noreviews_counterfactual_reject_v6_test,2521,23.4,93.38,20.43,85.76,0.47,0.9/0.0/0.9(n=220),0.4/0.0/0.4(n=247),0.4/0.0/0.4(n=260),0.0/0.0/0.0(n=374),37.9/93.8/0.9(n=568),34.7/80.8/0.4(n=852)
iclr_2020_2025_85_5_10_split6_original_clean_binary_noreviews_critical_analysis_v6_test,100,34.0,99.0,35.0,100.0,1.52,35.0/100.0/1.5(n=100),,,,,
iclr_2020_2025_85_5_10_split6_original_clean_binary_noreviews_no_core_technical_v6_test,2464,39.85,98.17,39.16,97.76,0.34,30.0/97.1/0.0(n=220),33.2/98.8/0.0(n=247),44.6/100.0/0.0(n=260),41.2/99.4/0.0(n=374),38.2/97.7/0.6(n=568),41.5/96.2/0.7(n=795)
iclr_2020_2025_85_5_10_split6_original_clean_binary_noreviews_no_discussion_v6_test,581,39.41,96.21,37.35,93.89,0.57,34.1/97.4/0.0(n=220),43.3/92.9/1.5(n=247),30.7/89.7/0.0(n=114),,,
iclr_2020_2025_85_5_10_split6_original_clean_binary_noreviews_no_experimental_results_v6_test,2227,39.25,96.59,37.36,94.85,0.22,29.5/98.5/0.0(n=220),36.0/100.0/0.0(n=247),43.1/96.6/0.0(n=260),38.8/96.0/0.0(n=374),37.1/93.7/0.6(n=568),37.6/91.3/0.3(n=558)
iclr_2020_2025_85_5_10_split6_original_clean_binary_noreviews_no_intro_discussion_v6_test,579,39.38,97.93,38.51,96.49,0.85,34.5/97.4/0.0(n=220),44.1/96.4/1.5(n=247),33.9/94.9/1.4(n=112),,,
iclr_2020_2025_85_5_10_split6_original_clean_binary_noreviews_no_introduction_v6_test,2515,39.96,96.78,38.21,94.93,0.46,30.5/97.1/0.0(n=220),34.4/100.0/0.0(n=247),41.5/100.0/0.0(n=260),40.6/96.2/0.5(n=374),38.9/96.4/1.2(n=568),38.8/90.3/0.4(n=846)
iclr_2020_2025_85_5_10_split6_original_clean_binary_noreviews_no_method_related_v6_test,2253,39.72,96.58,38.08,95.31,0.37,29.1/98.5/0.0(n=220),38.1/98.9/0.0(n=247),43.8/100.0/0.0(n=260),41.7/98.1/0.0(n=374),38.0/93.0/0.9(n=568),36.6/91.0/0.6(n=584)
iclr_2020_2025_85_5_10_split6_original_clean_binary_noreviews_no_methodology_v6_test,1043,37.87,94.63,35.47,92.91,0.46,31.4/100.0/0.0(n=220),39.7/98.0/0.0(n=247),36.9/90.5/0.6(n=260),33.9/86.8/1.0(n=316),,
iclr_2020_2025_85_5_10_split6_original_clean_binary_noreviews_no_related_work_v6_test,1960,40.0,95.97,37.96,94.26,0.43,30.0/98.5/0.0(n=220),39.7/100.0/0.0(n=247),41.2/99.1/0.0(n=260),40.4/95.6/0.0(n=374),37.0/88.1/0.9(n=568),38.5/93.2/1.2(n=291)
